state,municipality,address,banner,posted,type,region,group,link
NJ,Paterson,465 Getty Ave,SuperFresh,6/14/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/06/tour-farmboy-superfresh-paterson-nj.html
NY,Valley Cottage,14 Lake Ridge Plz,Foodtown,6/17/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/06/tour-foodtown-valley-cottage-ny.html
NJ,Paterson,946 Market St,Food Fair La Gran Marqueta,6/25/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/06/food-fair-la-gran-marqueta-paterson-nj.html
NJ,Glen Rock,937 Lincoln Ave,SuperFresh,7/5/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/07/tour-superfresh-glen-rock-nj.html
NY,Nyack,320 NY-59,Met Fresh Supermarket,7/7/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/07/tour-met-fresh-nyack-ny.html
NJ,Jefferson,757 NJ-15,Fresh Emporium Food Market,7/26/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/07/tour-fresh-emporium-jefferson-nj.html
NJ,Newark,323 Mt Prospect Ave,Food Fair Fresh Market,7/29/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/07/food-fair-fresh-market-newark-nj.html
NY,Tarrytown,114 N Broadway,CTown Supermarkets,8/5/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/08/tour-c-town-tarrytown-ny.html
PA,Confluence,511 Williams St,Confluence Foodmart,8/9/2017,Tour,LAUREL HIGHLANDS,,https://www.marketreportblog.com/2017/08/confluence-foodmart-confluence-pa.html
NJ,Denville,3130 NJ-10,Olive Tree Marketplace,8/12/2017,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2017/08/snapshot-olive-tree-marketplace.html
NJ,Kearny,100 Passaic Ave,ShopRite,8/13/2017,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2017/08/snapshot-kearny-shoprite.html
NY,Manhattan,1316 Amsterdam Ave,Met Foodmarkets,8/14/2017,Snapshot,NYC,,https://www.marketreportblog.com/2017/08/snapshot-manhattan-met-foods.html
NJ,Phillipsburg,680 Memorial Pkwy,Ahart's Market,8/19/2017,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2017/08/tour-aharts-phillipsburg-nj.html
NY,Port Chester,2 King St,Stop 1 Food Markets,8/23/2017,Snapshot,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/08/snapshot-stop-1-food-market.html
NY,White Plains,134 S Lexington Ave,Greenside Market,8/26/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/08/tour-greenside-market-white-plains-ny.html
NJ,Linden,701 US-1,ShopRite,8/30/2017,Snapshot,CENTRAL NJ,,https://www.marketreportblog.com/2017/08/photo-of-day_30.html
NY,Hartsdale,381 N Central Ave,Best Market,9/2/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/tour-best-market-hartsdale-ny.html
NY,Yonkers,329 S Broadway,Cherry Valley Marketplace,9/6/2017,Snapshot,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/snapshot-superstore-of-yonkers.html
NY,Harrison,355 Halstead Ave,The Harrison Market,9/9/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/tour-harrison-market-harrison-ny.html
PA,Pittsburgh,3609 Forbes Ave,Market on Forbes IGA (former),9/13/2017,Snapshot,GREATER PITTSBURGH,,https://www.marketreportblog.com/2018/10/revisit-former-iga-market-on-forbes.html
NY,Larchmont,2141 Palmer Ave,DeCicco & Sons,9/16/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/tour-decicco-sons-larchmont-ny.html
PA,Pittsburgh,1701 5th Ave,5th Ave Food Market (former),9/20/2017,Snapshot,GREATER PITTSBURGH,,https://www.marketreportblog.com/2017/09/snapshot-5th-ave-food-market.html
NY,Mount Vernon,31 E Prospect Ave,Foodtown,9/22/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/tour-foodtown-mount-vernon-ny.html
NY,Mount Vernon,1 Park Ave,CTown Supermarkets,9/25/2017,Snapshot,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/snapshot-c-town-mount-vernon-ny.html
NY,Mount Vernon,1 Bogopa Plz,Food Bazaar Supermarket,9/27/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/tour-food-bazaar-mount-vernon-ny.html
NY,Mount Vernon,220-230 S Fulton Ave,Western Beef Supermarket,9/29/2017,Snapshot,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/09/snapshot-western-beef-mount-vernon-ny.html
NJ,Orange,53 Jefferson St,Super Supermarket,10/2/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/tour-super-supermarket-orange-nj.html
NY,Manhattan,289 Columbus Ave,Pioneer Supermarkets,10/6/2017,Snapshot,NYC,,https://www.marketreportblog.com/2017/10/photo-of-day.html
NJ,Passaic,514 Van Houten Ave,GalaFresh Farms,10/9/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/tour-gala-fresh-farms-passaic-nj.html
NJ,Passaic,503 Paulison Ave,ShopRite,10/11/2017,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/look-inside-passaic-shoprite.html
NY,Saugerties,138 Ulster Ave,Price Chopper,10/13/2017,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2017/10/snapshot-price-chopper-saugerties-ny.html
NJ,Jersey City,2-16 Garfield Ave,Aquí Market,10/16/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/tour-aqui-market-jersey-city-nj-2.html
MA,Worcester,4 May St,America's Food Basket,10/18/2017,Snapshot,GREATER WORCESTER,,https://www.marketreportblog.com/2017/10/snapshot-americas-food-basket-worcester.html
NJ,Passaic,602 Main Ave,CTown Supermarkets,10/23/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2020/12/update-ctown-supermarkets-passaic-nj.html
NY,Bronx,1792 Westchester Ave,Shop Mart Supermarket,10/25/2017,Snapshot,NYC,,https://www.marketreportblog.com/2017/10/snapshot-shop-mart-bronx-ny.html
NJ,Elizabeth,151 Elmora Ave,International Supermarket,10/27/2017,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/look-inside-international-supermarket.html
NJ,Elizabeth,155 Elmora Ave,One Stop Kosher Market,10/27/2017,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/look-inside-international-supermarket.html
NJ,East Orange,1A New Main St,Western Beef Supermarket,10/30/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/10/tour-western-beef-east-orange-nj.html
NY,Kingston,276 Plaza Rd,Grand Union (former),11/1/2017,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2017/11/snapshot-old-gu-in-kingston.html
NY,Kingston,100 Plaza Rd,Hannaford,11/3/2017,Look Inside,HUDSON VALLEY,,https://www.marketreportblog.com/2017/11/look-inside-hannaford-kingston-ny.html
NY,Tannersville,6350 Main St,Tops Friendly Markets,11/6/2017,Tour,HUDSON VALLEY,,https://www.marketreportblog.com/2017/11/tour-tops-tannersville-ny.html
NY,Phoenicia,85 Main St,Phoenicia Supermarket,11/8/2017,Look Inside,HUDSON VALLEY,,https://www.marketreportblog.com/2017/11/look-inside-phoenicia-supermarket.html
NY,Schroon Lake,1103 US-9,Tops Friendly Markets,11/10/2017,Snapshot,ADIRONDACKS,,https://www.marketreportblog.com/2017/11/snapshot-tops-schroon-lake-ny.html
NJ,Maplewood,719 Irvington Ave,Extra Supermarket,11/13/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/11/tour-extra-supermarket-maplewood-nj.html
PA,Melcroft,1300 Indian Creek Valley Rd,G&D Market,11/17/2017,Snapshot,LAUREL HIGHLANDS,,https://www.marketreportblog.com/2017/11/snapshot-g-market-melcroft-pa.html
NJ,Newark,595 Irvington Ave,City Supermarkets,11/20/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/11/tour-city-supermarket-newark-nj.html
CT,Bridgeport,345 Huntington Tpk,Farmers Market by Food Bazaar,11/22/2017,Snapshot,CONNECTICUT,,https://www.marketreportblog.com/2017/11/snapshot-farmers-market-by-food-bazaar.html
NJ,Newark,206 Springfield Ave,ShopRite,11/27/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/11/tour-shoprite-newark-nj.html
MA,Worcester,664 Main St,Compare Foods,11/29/2017,Snapshot,GREATER WORCESTER,,https://www.marketreportblog.com/2017/11/snapshot-compare-foods-worcester-ma-plus.html
NJ,Roselle,550 Raritan Rd,SuperFresh,12/4/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/12/tour-superfresh-roselle-nj.html
NY,Manhattan,278 Park Ave,Morton Williams,12/6/2017,Snapshot,NYC,,https://www.marketreportblog.com/2017/12/snapshot-morton-williams-gramercy-park.html
NY,Manhattan,188 Ave C,CTown Supermarkets,12/8/2017,Snapshot,NYC,,https://www.marketreportblog.com/2017/12/snapshot-c-town-alphabet-city.html
NJ,Irvington,471-79 Lyons Ave,SuperFresh,12/11/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/12/tour-superfresh-irvington-nj.html
NY,Manhattan,317 9th Ave,Ideal Marketplace,12/13/2017,Look Inside,NYC,,https://www.marketreportblog.com/2017/12/look-inside-ideal-marketplace-chelsea.html
NY,Manhattan,766 6th Ave,Fairway Market,12/15/2017,Look Inside,NYC,,https://www.marketreportblog.com/2017/12/look-inside-fairway-chelsea.html
NJ,Garwood,563 North Ave E,ShopRite,12/18/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/12/tour-shoprite-garwood-nj.html
NY,Manhattan,341 3rd Ave,D'Agostino,12/20/2017,Look Inside,NYC,,https://www.marketreportblog.com/2017/12/look-inside-dagostino-gramercy-park.html
NY,Elizabethtown,215 Water St,A&P (former),12/22/2017,Snapshot,ADIRONDACKS,,https://www.marketreportblog.com/2017/12/snapshot-elizabethtown-ny.html
NY,Elizabethtown,209 Water St,Grand Union (former),12/22/2017,Snapshot,ADIRONDACKS,,https://www.marketreportblog.com/2017/12/snapshot-elizabethtown-ny.html
NJ,Elizabeth,1016 Sherman Ave,Twin City Supermarket,12/25/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/12/tour-twin-city-supermarket-elizabeth-nj.html
NY,Saugerties,330 NY-212,Grand Union (former),12/29/2017,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2017/12/snapshot-former-grand-union-saugerties.html
NJ,Saddle Brook,75 Mayhill St,ACME Markets,1/1/2018,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/tour-acme-saddle-brook-nj.html
NJ,Belleville,414 Main St,Bell Farms Supermarket,1/1/2018,Revisit,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/revisit-bell-farms-belleville-nj.html
NY,Manhattan,160 E 125th St,Pathmark (former),1/5/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/01/snapshot-pathmark.html
NY,Staten Island,450 Forest Ave,Key Food Marketplace,1/8/2018,Tour,NYC,,https://www.marketreportblog.com/2018/01/tour-key-food-forest-ave-staten-island.html
NY,Bronx,1221 Fteley Ave,Fine Fare Supermarkets,1/10/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/01/snapshot-fine-fare-fteley-ave-bronx-ny.html
NY,Bronx,1630 Bruckner Blvd,Food Bazaar Supermarket,1/12/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/01/snapshot-how-other-half-looks.html
NY,Staten Island,6400 Amboy Rd,SuperFresh,1/15/2018,Tour,NYC,,https://www.marketreportblog.com/2018/01/tour-superfresh-staten-island-ny.html
NJ,Westfield,430 North Ave E,Vine Ripe Markets,1/17/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/snapshot-vine-ripe-markets-westfield-nj.html
NJ,Franklin,270 NJ-23,ShopRite,1/19/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/snapshot-shoprite-franklin-nj.html
CT,New London,332 S Frontage Rd,NSA Supermarkets,1/22/2018,Tour,CONNECTICUT,,https://www.marketreportblog.com/2018/01/tour-nsa-new-london-ct.html
NJ,Califon,431 CR-513,Aquí Market,1/23/2018,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/look-inside-aqui-market-califon-nj.html
NY,Manhattan,307 W 26th St,Gristedes,1/24/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/01/snapshot-gristedes-chelsea.html
NY,Manhattan,77 7th Ave,Westside Market,1/26/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/01/snapshot-westside-market-manhattan.html
NJ,Elizabeth,25 S Broad St,Supremo Foodmarket,1/29/2018,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/tour-supremo-foods-elizabeth-nj.html
NY,Manhattan,1343 Lexington Ave,Gristedes,1/31/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/01/snapshot-gristedes-manhattan.html
NY,Manhattan,25 University Pl,Gristedes,2/2/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/02/snapshot-another-gristedes.html
NJ,Middlesex,738 Union Ave,Superfood Fresh Market,2/5/2018,Tour,CENTRAL NJ,,https://www.marketreportblog.com/2018/02/tour-superfood-fresh-middlesex-nj.html
NJ,Parsippany,251 Littleton Rd E,Grand Union (former),2/14/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/02/snapshot-grand-union-parsippany-nj.html
NJ,Millburn,720 Morris Tpk,A&P (former),2/16/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/02/snapshot-former-millburn-nj.html
NJ,Springfield,727 Morris Tpk,ShopRite,2/19/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/02/snapshot-shoprite-springfield-nj.html
NY,Staten Island,1795 Victory Blvd,Met Foodmarkets,2/21/2018,Snapshot,NYC,,https://www.marketreportblog.com/2018/02/snapshot-met-foods-victory-blvd.html
NJ,Guttenberg,6818 Bergenline Ave,Met Foodmarkets,2/26/2018,Look Inside,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/02/look-inside-met-foods-guttenberg-nj.html
NJ,West New York,6508 Bergenline Ave,Selectos Supermarket,2/28/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/02/snapshot-selectos-wny-nj.html
NJ,West New York,6418 Hudson Ave,Latinos Supermarket,3/2/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-latinos-wny-nj.html
NJ,West New York,6300 Bergenline Ave,California Fruit Market,3/5/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/snapshot-california-fruit-wny-nj.html
NJ,West New York,6210 Bergenline Ave,Fine Fare Supermarkets (former),3/7/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/snapshot-former-fine-fare-wny-nj.html
NJ,Ridgefield,543 Shaler Blvd,Ridgefield Market (former),3/7/2018,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2018/03/look-inside-ridgefield-market.html
NJ,West New York,6155 Bergenline Ave,Las Palmas Supermakret,3/9/2018,Look Inside,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/look-inside-las-palmas-wny-nj.html
NJ,West New York,6124 Palisade Ave,El Rey Farmer's Market,3/12/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-el-rey-wny-nj.html
NJ,West New York,5701 Broadway,Food Bazaar Supermarket,3/14/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-food-bazaar-wny-nj.html
NJ,West New York,5601 Hudson Ave,KEA Supermarket,3/16/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/snapshot-kea-supermarket-wny-nj.html
NJ,West New York,5501 Bergenline Ave,Four Seasons Farm Market,3/19/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/snapshot-four-seasons-farm-wny-nj.html
NJ,West New York,5528 Bergenline Ave,Fruteria Fiesta,3/20/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/snapshot-fruteria-fiesta-wny-nj.html
NJ,West New York,5500 Bergenline Ave,Fiesta Supermarket,3/21/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-fiesta-supermarket-wny-nj.html
NJ,West New York,5505 Palisade Ave,Extra Supermarket,3/23/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-extra-supermarket-wny-nj.html
NJ,West New York,5208 Palisade Ave,Super Supermarket,3/26/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-super-supermarket-wny-nj.html
NJ,West New York,401 52nd St,Carniceria Latina,3/28/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/snapshot-carniceria-latina-wny-nj.html
NJ,Union City,152 48th St,La Placita Supermarket,3/30/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/03/tour-la-placita-union-city-nj.html
NJ,Union City,4521 Bergenline Ave,A&D Super Market,4/2/2018,Snapshot,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/04/snapshot-super-market-union-city-nj.html
NJ,Union City,4416 Bergenline Ave,La Roca Supermarket,4/4/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/04/tour-la-roca-supermarket-union-city-nj.html
NJ,Union City,3209 Bergenline Ave,La Despensa del Ahorro,4/6/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/04/tour-la-despensa-del-ahorro-union-city.html
NJ,Union City,518 32nd St,City Fresh Market,4/9/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/04/tour-city-fresh-market-union-city-nj.html
NJ,Union City,426 33rd St,Fine Fare Supermarkets,4/11/2018,Tour,NORTHERN NJ,HUDSON COUNTY (2018),https://www.marketreportblog.com/2018/04/tour-fine-fare-33rd-st-union-city-nj.html
NJ,Morristown,135 Speedwell Ave,LC Supermarket,4/13/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/snapshot-lc-supermarket-morristown-nj.html
NJ,Newark,930 Broadway,Xtra Supermarket,4/17/2018,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/look-inside-super-xtra-newark-nj.html
NJ,Orange,50 Main St,One Stop Supermarket,4/18/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/snapshot-one-stop-supermarket-orange-nj.html
NJ,Butler,1506 NJ-23,Stop & Shop (former),4/20/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/snapshot-former-stop-shop-butler-nj.html
NY,Boiceville,4099 NY-28,Boiceville Market,4/23/2018,Tour,HUDSON VALLEY,,https://www.marketreportblog.com/2018/04/tour-boiceville-market-iga-boiceville-ny.html
NY,Piermont,487 Piermont Ave,Community Market (former),4/25/2018,Snapshot,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2018/04/snapshot-community-market-piermont-ny.html
NJ,Livingston,43 S Livingston Ave,A&P (former),4/27/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/snapshot-former-acme-and-shoprite.html
NJ,Livingston,45 S Livingston Ave,ACME Markets (former),4/27/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/snapshot-former-acme-and-shoprite.html
NJ,Livingston,1 N Livingston Ave,ShopRite (former),4/27/2018,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2018/04/snapshot-former-acme-and-shoprite.html
PA,Easton,250 Line St,Easton Food Market,4/30/2018,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2018/04/tour-easton-food-market-easton-pa.html
QC,Montreal,4342 Wellington St,Marche Branche d'Olivier,5/4/2018,Snapshot,QUEBEC,MONTREAL,https://www.marketreportblog.com/2018/05/snapshot-marche-branche-dolivier.html
QC,Montreal,4324 Wellington St,Fruterie Vert Pomme,5/7/2018,Look Inside,QUEBEC,MONTREAL,https://www.marketreportblog.com/2018/05/look-inside-fruiterie-vert-pomme.html
